Sample,rRNA,90/10 Ribo/Mito,Genomic Intervals,155 Non-Variable Genes,% Aligned Reads
bone,True,False,False,False,3
bone,False,True,False,False,48
bone,True,True,False,False,51
bone,True,True,True,False,60
bone,True,True,True,True,69
liver,True,False,False,False,14
liver,False,True,False,False,38
liver,True,True,False,False,53
liver,True,True,True,False,59
liver,True,True,True,True,67
kidney_1,True,False,False,False,11
kidney_1,False,True,False,False,31
kidney_1,True,True,False,False,44
kidney_1,True,True,True,False,53
kidney_1,True,True,True,True,58
prostate,True,False,False,False,14
prostate,False,True,False,False,34
prostate,True,True,False,False,49
prostate,True,True,True,False,58
prostate,True,True,True,True,65
cd14,True,False,False,False,12
cd14,False,True,False,False,33
cd14,True,True,False,False,46
cd14,True,True,True,False,54
cd14,True,True,True,True,65
heart,True,False,False,False,14
heart,False,True,False,False,22
heart,True,True,False,False,37
heart,True,True,True,False,45
heart,True,True,True,True,49
lung,True,False,False,False,6
lung,False,True,False,False,35
lung,True,True,False,False,41
lung,True,True,True,False,49
lung,True,True,True,True,61
kidney_2,True,False,False,False,9
kidney_2,False,True,False,False,30
kidney_2,True,True,False,False,40
kidney_2,True,True,True,False,47
kidney_2,True,True,True,True,53
pbmc_1,True,False,False,False,9
pbmc_1,False,True,False,False,33
pbmc_1,True,True,False,False,42
pbmc_1,True,True,True,False,53
pbmc_1,True,True,True,True,58
pbmc_2,True,False,False,False,10
pbmc_2,False,True,False,False,30
pbmc_2,True,True,False,False,41
pbmc_2,True,True,True,False,50
pbmc_2,True,True,True,True,56
thymus,True,False,False,False,12
thymus,False,True,False,False,21
thymus,True,True,False,False,34
thymus,True,True,True,False,50
thymus,True,True,True,True,54
brain,True,False,False,False,9
brain,False,True,False,False,24
brain,True,True,False,False,33
brain,True,True,True,False,44
brain,True,True,True,True,53
muscle,True,False,False,False,8
muscle,False,True,False,False,34
muscle,True,True,False,False,42
muscle,True,True,True,False,51
muscle,True,True,True,True,57
cart,True,False,False,False,4
cart,False,True,False,False,26
cart,True,True,False,False,30
cart,True,True,True,False,39
cart,True,True,True,True,52
